date,game_pk,game_number,sport,market,match,away_team_name,home_team_name,total_line,over_price,under_price,final_total_runs,result,paired_bucket,paired_winning_side,paired_over_bucket_plus_or_minus,paired_under_bucket_plus_or_minus,source_pull_time,polymarket_event_slug,polymarket_market_slug,polymarket_market_id,over_token_id,under_token_id,polymarket_event_url
2026-04-18,823721,1,MLB,Game Total O/U,Cincinnati Reds @ Minnesota Twins,Cincinnati Reds,Minnesota Twins,8.5,44.5,55.5,9,Over,Over 40-45 / Under 55-60,Over,Over 40-45 +,Under 55-60 -,03:00 ET history nearest over=2026-04-18T07:00:40.000Z under=2026-04-18T07:00:56.000Z,mlb-cin-min-2026-04-18,mlb-cin-min-2026-04-18-total-8pt5,2009745,61509485730328426020151721318285643400444136151897092111420499020539753937812,20513566180034626832370634732540992452443740931282180977409786434518692290160,https://polymarket.us/event/mlb-cin-min-2026-04-18
2026-04-18,824775,1,MLB,Game Total O/U,Detroit Tigers @ Boston Red Sox,Detroit Tigers,Boston Red Sox,7.5,47,53,5,Under,Over 45-50 / Under 50-55,Under,Over 45-50 -,Under 50-55 +,03:00 ET history nearest over=2026-04-18T06:50:57.000Z under=2026-04-18T07:00:59.000Z,mlb-det-bos-2026-04-18,mlb-det-bos-2026-04-18-total-7pt5,2007735,32901296788971819543906938520546950679740596589744904328805984701805362301640,100531900386495131591166833677591516728707709054070242914924145140238315613428,https://polymarket.us/event/mlb-det-bos-2026-04-18
2026-04-18,823558,1,MLB,Game Total O/U,Kansas City Royals @ New York Yankees,Kansas City Royals,New York Yankees,8.5,46.5,53.5,17,Over,Over 45-50 / Under 50-55,Over,Over 45-50 +,Under 50-55 -,03:00 ET history nearest over=2026-04-18T07:00:50.000Z under=2026-04-18T07:00:55.000Z,mlb-kc-nyy-2026-04-18,mlb-kc-nyy-2026-04-18-total-8pt5,2007747,26980485575083142228760970103597814611215715497201714772248335624138069526710,33788075196345151981929446446770440546442706656377024104714228663640631898809,https://polymarket.us/event/mlb-kc-nyy-2026-04-18
2026-04-18,823882,1,MLB,Game Total O/U,Milwaukee Brewers @ Miami Marlins,Milwaukee Brewers,Miami Marlins,7.5,49.5,50.5,7,Under,Over 45-50 / Under 50-55,Under,Over 45-50 -,Under 50-55 +,03:00 ET history nearest over=2026-04-18T07:00:52.000Z under=2026-04-18T07:00:55.000Z,mlb-mil-mia-2026-04-18,mlb-mil-mia-2026-04-18-total-7pt5,2007733,53738640406525934974377395624560134158346641097323003241094516366764018761795,30866018321196949256084496771931955962136607552491524608855220932531431860300,https://polymarket.us/event/mlb-mil-mia-2026-04-18
2026-04-18,824694,1,MLB,Game Total O/U,New York Mets @ Chicago Cubs,New York Mets,Chicago Cubs,8.5,48,52,6,Under,Over 45-50 / Under 50-55,Under,Over 45-50 -,Under 50-55 +,03:00 ET history nearest over=2026-04-18T07:00:58.000Z under=2026-04-18T07:00:42.000Z,mlb-nym-chc-2026-04-18,mlb-nym-chc-2026-04-18-total-8pt5,2007743,63607136635141849577323095401348239344725937578509063590083452995393076912711,35506785390883167230339004453772674733654117407649459004470835737508598582499,https://polymarket.us/event/mlb-nym-chc-2026-04-18
2026-04-18,822751,1,MLB,Game Total O/U,San Francisco Giants @ Washington Nationals,San Francisco Giants,Washington Nationals,9.5,51.5,48.5,13,Over,Over 50-55 / Under 45-50,Over,Over 50-55 +,Under 45-50 -,03:00 ET history nearest over=2026-04-18T07:00:48.000Z under=2026-04-18T06:50:57.000Z,mlb-sf-wsh-2026-04-18,mlb-sf-wsh-2026-04-18-total-9pt5,2007737,61607452926602748451351273627552475397962122608983677728909176349994733013577,104311217658382293432868251313682890530428521096086971116676736037950719698637,https://polymarket.us/event/mlb-sf-wsh-2026-04-18
2026-04-18,824206,1,MLB,Game Total O/U,St. Louis Cardinals @ Houston Astros,St. Louis Cardinals,Houston Astros,8.5,53.5,46.5,12,Over,Over 50-55 / Under 45-50,Over,Over 50-55 +,Under 45-50 -,03:00 ET history nearest over=2026-04-18T07:00:52.000Z under=2026-04-18T07:00:55.000Z,mlb-stl-hou-2026-04-18,mlb-stl-hou-2026-04-18-total-8pt5,2007729,43625708866451227755997307391229206474546938739499268812762664882657719903423,100650362048651975520941126308155560970629387581846033763945654847895542220417,https://polymarket.us/event/mlb-stl-hou-2026-04-18
2026-04-18,824206,1,MLB,Game Total O/U,St. Louis Cardinals @ Houston Astros,St. Louis Cardinals,Houston Astros,9.5,42.5,57.5,12,Over,Over 40-45 / Under 55-60,Over,Over 40-45 +,Under 55-60 -,03:00 ET history nearest over=2026-04-18T07:00:51.000Z under=2026-04-18T07:00:53.000Z,mlb-stl-hou-2026-04-18,mlb-stl-hou-2026-04-18-total-9pt5,2009743,69928336045838913644935288768639706059933822210347927120332036705404094781522,66159901381076478096299967594628364903619477695042577448038278790714631171657,https://polymarket.us/event/mlb-stl-hou-2026-04-18
2026-04-18,823394,1,MLB,Game Total O/U,Tampa Bay Rays @ Pittsburgh Pirates,Tampa Bay Rays,Pittsburgh Pirates,7.5,46.5,53.5,15,Over,Over 45-50 / Under 50-55,Over,Over 45-50 +,Under 50-55 -,03:00 ET history nearest over=2026-04-18T07:00:40.000Z under=2026-04-18T07:00:58.000Z,mlb-tb-pit-2026-04-18,mlb-tb-pit-2026-04-18-total-7pt5,2007739,41085982734133893425480986976155891124277741544211592922625894244762335811811,7290748627173377109033249802788253849404428364990151585431882792151084338854,https://polymarket.us/event/mlb-tb-pit-2026-04-18
2026-04-18,823151,1,MLB,Game Total O/U,Texas Rangers @ Seattle Mariners,Texas Rangers,Seattle Mariners,7.5,46.5,53.5,10,Over,Over 45-50 / Under 50-55,Over,Over 45-50 +,Under 50-55 -,03:00 ET history nearest over=2026-04-18T07:00:59.000Z under=2026-04-18T07:00:50.000Z,mlb-tex-sea-2026-04-18,mlb-tex-sea-2026-04-18-total-7pt5,2007725,16413406340837821579791182193128117000529737469465971932762092152950621053980,24723276289923071953046514461298551822107426020107199195183430745255644433686,https://polymarket.us/event/mlb-tex-sea-2026-04-18
2026-04-19,823475,1,MLB,Game Total O/U,Atlanta Braves @ Philadelphia Phillies,Atlanta Braves,Philadelphia Phillies,8.5,47.5,52.5,6,Under,Over 45-50 / Under 50-55,Under,Over 45-50 -,Under 50-55 +,03:00 ET history nearest over=2026-04-19T07:00:38.000Z under=2026-04-19T07:00:47.000Z,mlb-atl-phi-2026-04-19,mlb-atl-phi-2026-04-19-total-8pt5,2016112,18266831347447701520971436049732768995013971165775776127565265147757755410105,78829369409238007639255905210931000207305701000839586092492056690230054740274,https://polymarket.us/event/mlb-atl-phi-2026-04-19
2026-04-19,824452,1,MLB,Game Total O/U,Baltimore Orioles @ Cleveland Guardians,Baltimore Orioles,Cleveland Guardians,7.5,42.5,57.5,12,Over,Over 40-45 / Under 55-60,Over,Over 40-45 +,Under 55-60 -,03:00 ET history nearest over=2026-04-19T07:00:50.000Z under=2026-04-19T07:00:34.000Z,mlb-bal-cle-2026-04-19,mlb-bal-cle-2026-04-19-total-7pt5,2015819,41771112961153807399245956352369544416623602303496471028592463793018069020045,55706502847629140875334405371139931089683468562464229705604237111696605935421,https://polymarket.us/event/mlb-bal-cle-2026-04-19
